RegNumber,Brand,Value,IsElectric
TV61 YEL,HONDA,32775.91,false
UL46 RKE,TOYOTA,25981.13,true
ZN01 WFV,HONDA,14882.45,true
AT10 ZJS,VW,35908.08,false
WQ66 LBF,VW,31533.85,false
QK10 QFC,VW,16331.22,true
PP91 ZYR,TESLA,19178.36,true
JV23 TZK,BMW,29881.19,false
IV72 YUE,BMW,13690.99,false
NN86 VZK,BMW,48626.35,true
GT40 UPO,FORD,43526.58,true
JS83 RSY,TOYOTA,22213.00,false
PZ69 RJS,VW,31772.97,false
OQ08 NJJ,TESLA,17244.96,true
WE18 JSP,TOYOTA,47629.02,true
DR26 QBR,TOYOTA,30308.82,true
BO45 SXR,HONDA,28256.48,false
KT44 DNO,VW,33682.39,false
ON21 QEP,VW,40548.50,false
NG57 MEU,TOYOTA,25565.32,true
GV58 AJE,FORD,30996.77,false
WK76 OOO,BMW,28107.25,false
AR07 FVK,HONDA,18133.66,false
SS63 MXD,HONDA,49576.12,true
IE63 PPT,FORD,20371.56,false
